Date,SP500_Close,Mom_Norm,Strength_Norm,Breadth_Norm,PutCall_Norm,VIX_Norm,SafeHaven_Norm,JunkBond_Norm,FGI_Equal,FGI_OLS,CNN_FearGreed
1998-01-02,1305.0400390625,50.85586582123096,51.26452077630523,15.512741818404926,79.65831039282422,91.50795854908614,27.41301043944367,15.431762156545922,47.37773856483442,35.5832062162948,
1998-01-05,1307.780029296875,53.079069624218334,62.52204196007027,18.18600024295308,64.69270677127426,85.21451495600914,27.580410761434607,6.541670282239146,45.40234494259982,35.954074328762374,
1998-01-06,1293.800048828125,43.28265005674399,63.56677170227996,19.06717869546548,60.77197171981637,76.17724474721555,15.10807920516531,6.315198526956031,40.61272780766322,32.18430560424433,
1998-01-07,1290.6600341796875,41.00591462137292,57.80323309904975,19.43865897319904,54.72539774269117,80.6269089002052,4.733013715498252,11.879487005248926,38.601802008180734,29.972872031679664,
1998-01-08,1280.0699462890625,32.81612231013317,48.23281809104071,18.63295981282804,46.52743741772935,73.20901328473238,9.417073030699925,8.437673129187267,33.89615672519296,27.022721014044357,
1998-01-09,1242.0999755859375,2.7263117454251,34.329192901651794,15.412383175935176,46.54939021340808,53.57029891606788,0.2768349692790579,1.0055816376722078,21.98142765134846,16.734401945949074,
1998-01-12,1257.530029296875,16.047474153500353,17.376387203240895,12.875801899460583,29.5611826085804,57.611044354786735,15.03894951731514,2.404775899179881,21.559373662294846,18.326350106339806,
1998-01-13,1274.8699951171875,31.06479707405345,16.016365207588862,12.478228806053488,25.83103467165733,76.56814119879007,34.61570788955338,6.296807289308852,28.98158316242933,24.303122391387213,
1998-01-14,1282.7099609375,38.26579365549004,19.918509833411164,13.189572611524454,34.672257288046424,85.52743153928881,36.82944326709511,12.927705340683438,34.47581621936276,27.890510663771977,
1998-01-15,1273.0999755859375,29.58632044126,22.70326568535016,13.356092992181216,34.17080989003941,86.65170127862356,31.60735713164818,17.72240747499574,33.68542212772831,26.28922990635855,
1998-01-16,1287.530029296875,43.403834827241255,35.86878999217263,15.20941863407809,43.55740695058261,98.70474788603576,38.704914207818085,27.99467525583082,43.34911253625131,33.55244476020222,
1998-01-20,1310.4300537109375,65.42764222858013,50.48751345264176,18.42447136174984,67.11728184104842,97.4175408955946,56.84930487365521,33.798092565847995,55.64597817415968,44.68746112683668,
1998-01-21,1300.0799560546875,55.58440466427999,51.22825011302692,20.613789910535463,64.94199443186761,89.53354110822758,56.50999088688857,31.693573439831173,52.872220650665305,42.935560210301404,
1998-01-22,1289.6800537109375,45.82029072330042,49.722660470925625,21.3452329382492,62.7763841647178,83.06302485599626,50.48620237193376,34.302944701820365,49.64524860384904,40.27774977785171,
1998-01-23,1282.4000244140625,38.54768549558382,49.91774559681573,20.973645060704104,54.03837722449576,80.06847691544391,60.71621039542822,55.39806042990797,51.38002873119705,42.08645771034578,
1998-01-26,1281.5400390625,37.94889338238153,44.06871738682125,20.48352112336887,45.835170049246166,73.34655261440808,58.147117326457874,50.58659638955256,47.20236689603374,39.7965427514271,
1998-01-27,1297.699951171875,55.98490776441108,39.94611893856033,21.082542659913965,39.2718207467958,84.46436911624076,61.09912831738508,58.81593211111443,51.52354566491733,43.98476146263826,
1998-01-28,1309.31005859375,68.24826184508687,40.648965979100566,22.57136849032705,48.03444285087529,84.14298670540342,62.07008604485369,58.81593211111443,54.933149146680165,47.37056127108023,
1998-01-29,1320.1600341796875,79.92861954556935,44.41989282509216,25.195183346755933,49.11740023268991,85.75675411935077,51.25530484018778,42.67779555197099,54.05013578023096,47.3223059693085,
1998-01-30,1313.18994140625,70.44835326361972,49.026589386256106,27.30146148241225,68.22889555697432,85.79523812147895,50.13686288257825,35.01609704286565,55.13621396231215,46.63320836857043,
1998-02-02,1341.3199462890625,100.0,56.30730623334277,31.3545514811684,79.00377067851477,85.25862017616134,59.58845833341397,41.5334502626524,64.72087959503621,56.65866536075738,
1998-02-03,1347.719970703125,100.0,62.41347211998525,36.00175667483226,79.96121755937783,89.57072964021629,63.74575531895662,36.69565963664444,66.91265585000178,58.61995469906335,
1998-02-04,1349.1099853515625,100.0,66.57996650680217,40.88248481315503,78.72037976694467,89.5939708412479,73.00643490576186,37.24408088431979,69.43247395974731,61.6001118254956,
1998-02-05,1344.77001953125,95.80311924789513,68.61111054450755,45.44829506320626,76.38182648034666,82.74209171740075,78.00364120329326,48.72292240294712,70.81614380851379,63.863960822119346,
1998-02-06,1356.9599609375,100.0,70.37749736833356,50.553306866807546,72.42429788732191,87.85791083677266,87.65378027517495,52.10837048948838,74.4250233891284,67.70343822036307,
1998-02-09,1354.75,99.12114875226136,71.28791890271263,55.13076035269515,70.6482203051986,78.14538409771734,100.0,55.40086642934348,75.67632840570406,70.71725685773019,
1998-02-10,1365.8499755859375,100.0,72.58975269579672,60.87962034152763,67.78998760893643,84.35887112760409,100.0,52.87793310350576,76.92802355391007,72.0272147268905,
1998-02-11,1367.489990234375,100.0,73.02265507264043,66.40461022634898,68.1763613163931,85.68158308609596,96.27942750298236,44.5907697118673,76.30791527376113,71.98176036788914,
1998-02-12,1373.1600341796875,100.0,72.86154036957512,71.57734788326054,68.55912836924773,90.25492674714772,94.21806596803162,47.747560396552174,77.88836710483068,73.29575721796921,
1998-02-13,1367.77001953125,97.00613282286,73.2226510109659,75.58888610203593,63.53402427312031,88.46931957642829,93.50915679627356,42.34291277292079,76.23901190780064,72.73115152926381,
1998-02-17,1371.4100341796875,97.34137994068514,73.333245487478,78.9650399840725,57.44468008315682,80.1545384693986,83.35530454719778,51.52858002102528,74.58896693328771,72.60108075085004,
1998-02-18,1384.239990234375,100.0,72.93833413536092,83.09396366470116,52.43579265498092,88.90538383491753,78.56008089080667,51.71766410929068,75.37874561286539,73.15509544515115,
1998-02-19,1379.18994140625,97.02795197583654,73.1836964487466,85.4676874927685,46.87466853860612,86.59355786258429,83.53432018216533,54.9508759524832,75.37610835045578,73.93200327535631,
1998-02-20,1387.1600341796875,100.0,73.07753484874249,87.78668310753153,47.30327542678971,93.49323445628488,87.58227578372703,61.07852785649092,78.61736163993805,76.40213114595444,
1998-02-23,1392.4599609375,100.0,72.90162430855045,89.59305492447001,54.83405342777936,92.92082991591133,92.62614159941197,70.20321294926389,81.86841673219811,78.97112980488438,
1998-02-24,1382.2900390625,90.21137223466934,71.77820703169482,89.22416330370797,54.69596236280386,89.04201582884289,97.878420956687,84.80986918246609,82.52000155726739,79.21219292245682,
1998-02-25,1399.0400390625,99.76327907254728,72.39269567007096,90.4671475605452,59.57388553509553,94.0449002950206,97.13660474075571,73.25719453471058,83.80510105839224,80.37330875703974,
1998-02-26,1406.949951171875,100.0,72.64550477458522,92.3200818871205,64.43537724045675,92.59831163923906,90.57351437217258,75.8885583511327,84.06590689495808,80.43561766335243,
1998-02-27,1407.9000244140625,98.7606337224262,72.26392796660643,93.90277602690256,60.4467450044413,91.9915622944376,85.80442182481113,69.82402897342263,81.85629940186394,78.9372390036847,
1998-03-02,1405.72998046875,94.06065618718016,72.83599287833218,95.04951641047283,62.57045745836131,85.2827620455148,87.65988679993856,92.27905457709258,84.24833233669888,81.09143593949213,
1998-03-03,1411.5400390625,95.1020346938995,73.11045194190554,96.16988271038552,64.11034695700496,85.48526435889772,77.24554588300686,93.95321180154768,83.59667690666393,80.2786436983904,
1998-03-04,1405.56005859375,88.66064274465265,72.41565201527092,96.05621337874696,60.0931531106885,79.46387942525297,73.43306138161749,88.26727269785681,79.76998210772658,77.48208562653627,
1998-03-05,1389.27001953125,76.26561973807931,67.93415754326881,93.61397479331151,49.43835209120308,65.9549378636138,56.31510455452711,86.2117816638418,70.81913260683503,70.5199920283513,
