Date,SP500_Close,Mom_Norm,Strength_Norm,Breadth_Norm,PutCall_Norm,VIX_Norm,SafeHaven_Norm,JunkBond_Norm,CNN_FearGreed
1998-01-02,1305.0400390625,49.85513102305391,28.283418486693808,15.649868636546609,79.59940604392776,91.49423010202662,,15.707210672476606,
1998-01-05,1307.780029296875,51.98718491348782,28.899927379316807,18.312497760850054,64.66352559694487,85.20286801838083,,6.887957312541161,
1998-01-06,1293.800048828125,42.76694039055944,28.693718918013456,19.19017250782658,60.750577514547,76.16858681916422,,6.663290141835809,
1998-01-07,1290.6600341796875,40.62143734144826,27.08274837588489,19.56017572095211,54.716012633640005,80.61677927899206,,12.18324095355466,
1998-01-08,1280.0699462890625,32.86123210129188,26.47625419397086,18.75768014845868,46.53433427177133,73.20133707705268,,8.76885232631718,
1998-01-09,1242.0999755859375,4.178466895416243,25.445718390658847,15.549909035985102,46.556243467018376,53.56911806638582,,1.3959816310969728,
1998-01-12,1257.530029296875,16.836601814545936,25.12778676158161,13.023413609698116,29.60177612907125,57.60852705875136,,2.784026756667309,
1998-01-13,1274.8699951171875,31.186934332375568,26.17846980508503,12.627421330080004,25.879036636277394,76.55935398465894,,6.64504545025035,
1998-01-14,1282.7099609375,38.091713600694575,26.975295612208104,13.335936719556416,34.70269970679994,85.51568110683931,,13.223106818545787,
1998-01-15,1273.0999755859375,29.74207777266494,26.513453711462105,13.501794988721592,34.20224823310871,86.63957900236059,,17.979603546114284,
1998-01-16,1287.530029296875,43.06784902832496,26.80886945072232,15.347751513395076,43.57020257999488,98.68863915469188,,28.17001928322393,
1998-01-20,1310.4300537109375,64.34469820282672,28.199578048799783,18.55002068058829,67.08328521992033,97.40185789834224,,33.92719348728326,
1998-01-21,1300.0799560546875,54.88340852878247,29.821485277082036,20.730634150967475,64.91231814749517,89.52046568497985,,31.839443705212588,
1998-01-22,1289.6800537109375,45.46424960666602,29.649629357856465,21.4591688449855,62.751008997336186,83.05208950763829,,34.42802283296334,
1998-01-23,1282.4000244140625,38.40977653119735,29.34416051617878,21.08905845988238,54.030356606400645,80.05853199143601,,55.35504731072452,
1998-01-26,1281.5400390625,37.84342872117834,29.468407304246224,20.600883333196805,45.84344181500977,73.33883091662307,,50.58192224024578,
1998-01-27,1297.699951171875,55.438576869270335,30.449344495313856,21.197523064935265,39.29312797587879,84.45297028374236,,58.74568452060811,
1998-01-28,1309.31005859375,67.36192748367901,30.414372201484596,22.68042908729005,48.038346642512586,84.13169416773539,,58.74568452060811,
1998-01-29,1320.1600341796875,78.79004713755415,29.66421282631177,25.29381123895708,49.11915316345168,85.74492784017187,55.19888337780016,42.73614074033969,
1998-01-30,1313.18994140625,69.52343596334579,27.96505229646948,27.39171447808369,68.19269116064616,85.78339911400398,54.051965152253,35.135492594674886,
1998-02-02,1341.3199462890625,100.0,29.32209072844823,31.428688747017397,78.94616631047317,85.24695865106112,63.5203092412454,41.600913885495046,
1998-02-03,1347.719970703125,100.0,28.799903568942742,36.05741591444608,79.90171160677617,89.55764191713953,67.65357846014867,36.80167200629773,
1998-02-04,1349.1099853515625,100.0,30.0637162973783,40.91873750220173,78.6633382413883,89.5808754313176,76.82832073495229,37.34572329391144,
1998-02-05,1344.77001953125,94.5495416560772,32.706066917074025,45.46639336524627,76.3294295537874,82.73126251527971,81.6727971036866,48.7330984822263,
1998-02-06,1356.9599609375,100.0,34.67174005487413,50.55110683079129,72.37976100544908,87.84538961571353,91.1323671154809,52.09157045689801,
1998-02-09,1354.75,97.9006664847413,38.020767702478594,55.11035963431655,70.6072108897316,78.13607522228571,100.0,55.35783095124247,
1998-02-10,1365.8499755859375,100.0,42.95131437458831,60.83636124240854,67.75465492736755,84.34750718777693,100.0,52.85500100017152,
1998-02-11,1367.489990234375,100.0,44.991931086865286,66.33938288959322,68.14026125828231,85.66978166917448,98.4227974964196,44.633871835323546,
1998-02-12,1373.1600341796875,100.0,46.20394061814078,71.49155291969493,68.52226809776911,90.24161273099152,96.07876484551772,47.765508408504736,
1998-02-13,1367.77001953125,95.84832148225787,47.98504787402521,75.48714062512717,63.50714435726543,88.45659613649819,95.09018586641211,42.40392639249266,
1998-02-17,1371.4100341796875,96.1699347222406,49.35117588275802,78.84987038289839,57.42989420940904,80.14456508117496,84.96449773513132,51.5163999064305,
1998-02-18,1384.239990234375,100.0,50.48622581227746,82.96237680693643,52.43095492894433,88.89251616999309,80.14628147032386,51.703977324563205,
1998-02-19,1379.18994140625,95.87877066563328,51.82003143946962,85.32666233190714,46.88087575716917,86.5814548168216,84.83742046272287,54.91142611301368,
1998-02-20,1387.1600341796875,99.02066733155831,53.58881889353447,87.63643725164528,47.30863138952103,93.47884939405702,88.585195915691,60.99025132730865,
1998-02-23,1392.4599609375,99.6459863125366,56.14663533535985,89.43562664722879,54.824452517750345,92.90663417220703,93.23533778485016,70.04222860724715,
1998-02-24,1382.2900390625,89.1463924051599,57.94826410437733,89.06820179816334,54.68663571533948,89.02910297390764,98.04108141816847,84.53249528653673,
1998-02-25,1399.0400390625,98.5771373922355,61.00902971746602,90.3062437521001,59.55487084793417,94.03033277343972,97.05812052011032,73.07187529025536,
1998-02-26,1406.949951171875,100.0,62.92425702107483,92.15181051738392,64.40670714812303,92.58422256604428,90.5123968217276,75.68227173016875,
1998-02-27,1407.9000244140625,97.55086203593712,64.22862425985014,93.72821161379508,60.42599673171695,91.9776738990538,85.77590575681609,69.66606606581868,
1998-03-02,1405.72998046875,92.8835597291559,66.72331338106993,94.870392375397,62.54549128186278,85.2710925356717,87.47402732028678,91.94216431120888,
1998-03-03,1411.5400390625,93.89864041988014,66.6002320012773,95.98630392088845,64.08232240708297,85.47352787292797,77.3977692850628,93.60298142486631,
1998-03-04,1405.56005859375,87.5504538140378,66.48013301643057,95.87308655657316,60.07310710656949,79.4541344673462,73.69059058869084,87.96234933088991,
1998-03-05,1389.27001953125,75.32109131886797,64.89220869946857,93.44055869979586,49.43946757970996,65.94966088716265,57.14867223588812,85.92323697250748,
