Date,VIX_Norm
1993-03-08,20.511301146117454
1993-03-09,34.10572839894544
1993-03-10,26.730710898363206
1993-03-11,35.826414951448754
1993-03-12,15.746903182563642
1993-03-15,24.340749918324295
1993-03-16,49.60329199031467
1993-03-17,24.348370909646338
1993-03-18,34.14099222802534
1993-03-19,40.05488062930689
1993-03-22,39.097982864491655
1993-03-23,55.09842073408585
1993-03-24,61.34451303877139
1993-03-25,55.10739420089467
1993-03-26,81.04531411833209
1993-03-29,50.70467272671266
1993-03-30,56.71828225264034
1993-03-31,60.59268439796302
1993-04-01,51.164229145615494
1993-04-02,35.89244170911484
1993-04-05,34.62916474403206
1993-04-06,44.1693226376742
1993-04-07,44.61086088638387
1993-04-08,62.7669783947361
1993-04-12,62.814438173879466
1993-04-13,59.53458314193014
1993-04-14,62.780405395238176
1993-04-15,67.3457841712141
1993-04-16,77.9244696517849
1993-04-19,74.23139983211503
1993-04-20,68.57336487049417
1993-04-21,60.869447433692905
1993-04-22,70.99269420123717
1993-04-23,50.14371843844575
1993-04-26,39.39289027893551
1993-04-27,22.91922159383693
1993-04-28,43.58399741376853
1993-04-29,49.797891511683105
1993-04-30,74.44414022029663
1993-05-03,48.123961928644825
1993-05-04,50.21045334915939
1993-05-05,61.58671056274763
1993-05-06,52.00516445000324
1993-05-07,50.678804001951576
1993-05-10,44.24324625625339
1993-05-11,41.75733200219641
1993-05-12,49.952586404009004
1993-05-13,28.721913419126853
1993-05-14,29.355725212466197
1993-05-17,26.98835867418999
1993-05-18,31.17472493850113
1993-05-19,32.10039612995874
1993-05-20,32.068804245313856
1993-05-21,36.051662282507344
1993-05-24,35.66081338560794
1993-05-25,40.95046545098744
1993-05-26,47.949961457700894
1993-05-27,42.563035522258964
1993-05-28,47.14218376500154
1993-06-01,41.402614279178074
1993-06-02,41.96494287018732
1993-06-03,41.176430835292074
1993-06-04,50.74997787920021
1993-06-07,53.402783892634886
1993-06-08,22.307676183216934
1993-06-09,16.377611018714447
1993-06-10,44.74003521132699
1993-06-11,48.150293793967464
1993-06-14,61.40016194687635
1993-06-15,60.920899274828
1993-06-16,60.40008363654165
1993-06-17,53.20223928749947
1993-06-18,67.47422426870811
1993-06-21,56.42288842854889
1993-06-22,68.15522268460137
1993-06-23,73.51798395440477
1993-06-24,51.505201991401144
1993-06-25,61.626278134214715
1993-06-28,62.131191166668536
1993-06-29,71.00685124455796
1993-06-30,74.02546844346456
1993-07-01,83.2505774509415
1993-07-02,68.4735999572084
1993-07-06,49.7946585857907
1993-07-07,43.900957257249296
1993-07-08,72.79110318361903
1993-07-09,70.9799074045971
1993-07-12,98.36991206926346
1993-07-13,75.63309043406193
1993-07-14,72.78810371848343
1993-07-15,73.36098565128991
1993-07-16,76.81523371596083
1993-07-19,65.79750998692933
1993-07-20,70.00157286972423
1993-07-21,56.578654564763404
1993-07-22,57.654165758005895
1993-07-23,68.11761201100883
1993-07-26,60.40797064568422
1993-07-27,56.60634014801906
1993-07-28,55.807740509366376
1993-07-29,59.67035872522868
1993-07-30,58.89176972913092
1993-08-02,54.31993664841889
1993-08-03,65.79074493272168
1993-08-04,65.37358215578571
1993-08-05,50.10352346586505
1993-08-06,46.322583617788574
1993-08-09,46.34297109528291
1993-08-10,48.61207024661379
1993-08-11,42.52402317613074
1993-08-12,44.172894311762725
1993-08-13,35.37542419791372
1993-08-16,41.54084632621196
1993-08-17,49.96739932163811
1993-08-18,44.87897089558914
1993-08-19,43.61875176659445
1993-08-20,54.64380515385131
1993-08-23,38.23287446511604
1993-08-24,44.455123912711024
1993-08-25,46.70973706016924
1993-08-26,45.51002258116221
1993-08-27,45.20634090121437
1993-08-30,52.83147502755439
1993-08-31,34.44756490624343
1993-09-01,53.34179669499428
1993-09-02,44.26728074358533
1993-09-03,49.18572911362054
1993-09-07,45.41887966975545
1993-09-08,38.44241230159659
1993-09-09,22.0372385798309
1993-09-10,40.91451339854934
1993-09-13,48.72356225126488
1993-09-14,21.777112234768868
1993-09-15,26.997663340022427
