strategy,fgi_col,entry,exit,fast,slow,is_total_return,is_cagr,is_sharpe,is_max_dd,is_calmar,is_transactions,oos_total_return,oos_cagr,oos_sharpe,oos_max_dd,oos_calmar,oos_transactions
kontrarian_combined,FGI_Equal,40.0,82.0,,,521.2389253922645,10.697557847472172,0.6086175095715745,-44.60710542223838,0.2398173507608728,85,87.36239462410977,6.355157740677875,0.43185757691455506,-34.870103283397526,0.18225233487345918,49
kontrarian_combined,FGI_Equal,41.0,82.0,,,472.05258042952767,10.19066733357674,0.5855791155230995,-44.60710542223847,0.2284539029626494,85,87.85046160360362,6.382312844703253,0.4333131118934378,-34.87010328339747,0.18303108519159542,49
kontrarian_combined,FGI_Equal,36.0,82.0,,,455.69569821731005,10.012945258559736,0.5776733162860976,-44.9485800124943,0.2227644400730001,85,66.84166670036757,5.1513685689799305,0.3687509110833685,-30.1530668671005,0.17084061769519376,49
kontrarian_combined,FGI_OLS,38.0,79.0,,,423.82698391346986,9.652019726379324,0.5609118392050186,-44.94858001249428,0.2147346973741188,81,223.5507243774144,12.212457660860366,0.7295384241601691,-30.153066867100538,0.40501544054164373,49
kontrarian_combined,FGI_OLS,43.0,79.0,,,407.52441806386577,9.459290145022091,0.5521158799321395,-44.60710542223848,0.2120579234066652,85,182.45390116783727,10.726574636267783,0.655403249527743,-34.870103283397526,0.30761522411018943,49
kontrarian_combined,FGI_OLS,42.0,79.0,,,394.1432468150479,9.296677482597923,0.5446139559911755,-44.60710542223833,0.2084124803570684,85,183.7244030508019,10.775350597676292,0.6578047826049227,-34.870103283397526,0.30901401438655013,49
kontrarian_long,FGI_Equal,40.0,82.0,,,357.12633262369155,8.824167848021492,0.5552771153881196,-47.65031209109961,0.1851859402547275,43,174.56336375530833,10.419141446296365,0.6771201071888343,-33.7904636518717,0.3083456194516951,25
kontrarian_long,FGI_Equal,36.0,82.0,,,343.925264050323,8.646875470454262,0.5537676310278277,-47.81080722383245,0.1808560861558517,43,159.88859903296833,9.825558270639512,0.6500372250611673,-28.426225715953784,0.3456511732799289,25
kontrarian_long,FGI_Equal,41.0,82.0,,,336.67149668428704,8.547325123657501,0.5410132112474061,-47.65031209109958,0.1793760575443119,43,174.90690653151927,10.43269156834774,0.6777655735645637,-33.7904636518717,0.3087466237761985,25
kontrarian_long,FGI_OLS,38.0,79.0,,,315.8173132323174,8.25217200381283,0.5269864585784836,-47.81080722383248,0.1726005579696494,41,260.80206519772537,13.418859836174857,0.8379233311086864,-28.426225715953805,0.47205914602457116,25
